Unnamed: 0.1,submission_id,picture_id,weight_estimation,user_type,food_recognised,container_recognised,duration,submission_datetime,with_prior_training
0,ce72a6c5-0577-447e-8815-8c34518b8f3e,64,250,OTHER,False,False,4788,2022-04-25 15:13:34.629,False
1,693efe08-3f4b-437f-b8ee-baba2fb8037a,52,100,OTHER,False,False,2736,2022-04-25 16:38:02.234,False
2,693efe08-3f4b-437f-b8ee-baba2fb8037a,98,80,OTHER,False,False,1037,2022-04-25 16:38:02.234,False
3,693efe08-3f4b-437f-b8ee-baba2fb8037a,88,300,OTHER,False,False,1550,2022-04-25 16:38:02.234,False
4,693efe08-3f4b-437f-b8ee-baba2fb8037a,27,900,OTHER,False,False,1791,2022-04-25 16:38:02.234,False
5,693efe08-3f4b-437f-b8ee-baba2fb8037a,83,100,OTHER,False,False,2260,2022-04-25 16:38:02.234,False
6,693efe08-3f4b-437f-b8ee-baba2fb8037a,43,200,OTHER,False,False,5419,2022-04-25 16:38:02.234,False
7,693efe08-3f4b-437f-b8ee-baba2fb8037a,44,80,OTHER,False,False,1018,2022-04-25 16:38:02.234,False
8,693efe08-3f4b-437f-b8ee-baba2fb8037a,71,150,OTHER,False,False,1889,2022-04-25 16:38:02.234,False
9,8db5b32e-9343-4127-a688-fd9eaf0bbca3,21,50,OTHER,False,False,1620,2022-04-29 14:09:26.543,False
10,8db5b32e-9343-4127-a688-fd9eaf0bbca3,0,358,OTHER,False,False,1141,2022-04-29 14:09:26.543,False
11,8db5b32e-9343-4127-a688-fd9eaf0bbca3,78,398,OTHER,False,False,1810,2022-04-29 14:09:26.543,False
12,8db5b32e-9343-4127-a688-fd9eaf0bbca3,33,750,OTHER,False,False,979,2022-04-29 14:09:26.543,False
13,d5c0ec0d-b1bb-47bb-9ba0-cfc97f4c25ad,63,500,OTHER,False,False,725,2022-04-30 11:31:48.468,False
14,d5c0ec0d-b1bb-47bb-9ba0-cfc97f4c25ad,72,50,OTHER,False,False,1031,2022-04-30 11:31:48.468,False
15,1d642456-3975-4686-8a33-20eb043ac0ee,41,50,OTHER,False,False,1374,2022-04-29 09:25:16.084,False
16,1d642456-3975-4686-8a33-20eb043ac0ee,86,100,OTHER,False,False,1133,2022-04-29 09:25:16.084,False
17,500cada1-92a2-4725-a0ee-5f074ccaf8e7,15,100,OTHER,False,False,2784,2022-04-30 12:29:15.617,False
18,500cada1-92a2-4725-a0ee-5f074ccaf8e7,85,100,OTHER,False,False,836,2022-04-30 12:29:15.617,False
19,f5375b6c-b1f4-4e4c-9db1-bcb5e9205da6,13,800,OTHER,False,False,658,2022-04-30 19:22:02.734,False
20,d680a300-a2c8-4b07-94e4-be3ad07143ba,46,700,OTHER,False,False,1120,2022-04-30 14:34:18.296,False
21,e7a53e3c-090b-44c5-b293-5529f6a00464,46,300,OTHER,False,False,1043,2022-04-29 11:21:01.168,False
22,1d325b5d-c74d-4cdd-8a01-849911b448db,1,450,OTHER,False,False,1067,2022-04-29 09:43:41.989,False
23,1d325b5d-c74d-4cdd-8a01-849911b448db,94,500,OTHER,False,False,2491,2022-04-29 09:43:41.989,False
24,1d325b5d-c74d-4cdd-8a01-849911b448db,63,650,OTHER,False,False,1123,2022-04-29 09:43:41.989,False
25,1d325b5d-c74d-4cdd-8a01-849911b448db,78,350,OTHER,False,False,2230,2022-04-29 09:43:41.989,False
26,1d325b5d-c74d-4cdd-8a01-849911b448db,98,2000,OTHER,False,False,2144,2022-04-29 09:43:41.989,False
27,1d325b5d-c74d-4cdd-8a01-849911b448db,49,70,OTHER,False,False,721,2022-04-29 09:43:41.989,False
